NCO|documentStart|2020-12-03|10:55:12|user01|End
NCO|documentCheck|principleID|NDI|End
NCO|documentCheck|distributorID|B0006|End
NCO|documentCheck|distributorName|PT. BERKAH RAYA|End
NCO|documentCheck|branchName|TANGERANG|End
NCO|documentCheck|fromDate|2020-07-19|End
NCO|documentCheck|thruDate|2020-07-22|End
NCO|documentCheck|version|A01.30.00|End
NCO|documentCheck|productmasterversion||End
NCO|documentCheck|gromartMerchantID||End
NCO|documentCheck|companyID|NS6083010001517|End
NCO|documentCheck|branchID|1522203109974|End
NCO|documentCheck|nd6closeddate|2020-07-21|End
NCO|distributorproduct|attribute|productCode|principalProductCode|productName|productPackaging|uom1|uom2|uom3|uom4|conversion1to4|conversion2to4|conversion3to4|productStatus|buyingPrice|sellingPrice|nexchiefRatio|divisonID|vendorID|End
NCO|distributorproduct|value|MXD1025|WF-STW-8P|Apillo Strowbery|8 x 20 x 10|krt|bag|pcs|PCS|160|20|1|A|53561.45|60727.27|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD1061|MXD1061|Apillo Wafer Block Choco|16 x 10 x 16|krt|bag|pcs|PCS|160|10|1|A|48750.54|55273.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD106|MXD106|Apillo Wafer Stick|6x750Gr|krt|pcs|pcs|PCS|6|1|1|A|56929.0|64545.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD112|MXD112|Apillo Wafer Stick|12x375Gr|krt|pcs|pcs|PCS|12|1|1|A|62141.0|70455.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD429|MXD429|Apillo waferstick capucin|1x6x600gr|krt|pcs|pcs|PCS|6|1|1|A|57200.0|65000.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD124|MXD124|Apillp Cho Orange|6x56x12gr|krt|tps|pcs|PCS|360|60|1|A|84190.0|95455.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD1079|WB-WDR-30|Apilo  Block Wafer Durian 30|3 X 10 X 80|KRT|BAG|PCS|PCS|30|10|1|A|51717.27|58636.36|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD2011|WF-CHM-6T|Apilo 2 in 1 Choco Milk 6 TOP 10gr|6 x 56 x 10 gr|KRT|TPL|TPL|PCS|6|1|1|A|134705.0|152727.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD10611|MXD10611|Apilo Block Wafer Chocolate 28 gr|6 X 20 X 28 GR|KRT|BAG|PCS|PCS|120|20|1|A|67353.0|76363.64|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD10612|MXD10612|APILO BLOCK WAFER STROWBERY 28 GR|6 X 20 X 28 GR|KRT|BAG|PCS|PCS|120|20|1|A|67353.0|76363.64|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD10614|MXD10614|Apilo Block Wafer Vanila 28 gr|6 X 20 X 28 GR|KRT|BAG|PCS|PCS|120|20|1|A|67353.0|76363.64|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD10613|MXD10613|Apilo Bolck Wafer Pandan 28 gr|6 X 20 X 28 GR|KRT|BAG|PCS|PCS|120|20|1|A|67353.0|76363.64|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD2012|WF-CHO-6T|Apilo Chocolate 6 TOP 10 gr|6 x 56 x 10 gr|KRT|PCS|PCS|PCS|6|1|1|A|134705.0|152727.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD443|WF-CRUP-24|APILO CRUNCHY BAR PEANUT 24 BKS|24 X 100|krt|PCS|PCS|PCS|24|1|1|A|76974.545|87272.72|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD118|MXD118|Apilo orange tin|6x56x12Gr|krt|pcs|pcs|PCS|360|60|1|A|89002.0|100909.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD425|WS-CAP-6TS|Apilo Spot wfr Stick Capp|6 x 500|krt|tin|tin|PCS|6|1|1|A|88400.0|100454.55|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD428|WS-CHO-6TS|Apilo spot wfr stick cho|6 x 500|krt|tin|tin|PCS|6|1|1|A|88400.0|100454.55|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD442|WS-STW-6TS|Apilo Spot Wfr Stick Strow|6 x 500|krt|pcs|pcs|PCS|6|1|1|A|88400.0|100455.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD445|APL-CHE-6|Apilo wafer cheese cream 350|6 X 325|KRT|PCS|PCS|PCS|6|1|1|A|98400.0|111818.2|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD419|APL-CHO-6|Apilo wafer choc 6 Tin|6 x  325|krt|tin|tin|PCS|6|1|1|A|98400.0|111818.2|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD10621|MXD10621|Apilo Wafer Chocolate 28 gr  (132)|12 x 11 x 28|KRT|BAG|PCS|PCS|132|11|1|A|67353.0|76363.64|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD10623|MXD10623|Apilo Wafer Pandan 28 gr (132)|12 x 11 x 28|krt|bag|PCS|PCS|132|11|1|A|67353.0|76363.64|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD10625|WB-STW-132|Apilo Wafer Strowbery |12 x 11 x 28|KRT|BAG|PCS|PCS|132|11|1|A|67353.0|76363.64|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD10624|MXD10624|Apilo Wafer Vanilan 28 gr (132)|12 x 11 x 28 gr|krt|bag|PCS|PCS|132|11|1|A|67353.0|76363.64|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD424|MXD424|Apilo Wfrstick choco 6S|6 x 700|krt|tin|tin|PCS|6|1|1|A|66400.0|75454.54|1.0|1522217674091|001|End
